検索ＮＯ,相手ＮＯ,伝票ＮＯ,証憑ＮＯ,伝票日付,借方,借方製造区分,借方科目名,借方科目別補助コード,借方科目別補助名称,,,,,金額,借方外税区分,借方外税額,貸方,貸方製造区分,貸方科目名,貸方科目別補助コード,貸方科目別補助名称,,,,,金額,貸方外税区分,貸方外税額,消費税,消費税額,業種,売上仕入,税率,期日,資金繰コード,資金繰名,摘要,税率区分
68,,,,2022/3/31,2112, ,買掛金,27,㈱テレビ新広島,,,,,616000,,,1113, ,普通預金,1,広島信用金庫売,,,,,616000,,,,,,,,,12,買掛金支払,掛代金支払,
69,,,,2022/3/31,6227, ,管理諸費,,,,,,,550,,,1113, ,普通預金,1,広島信用金庫売,,,,,550,,,10,50,,仕入,10.00%,,18,販売管理費,振込料,
70,,,,2022/3/31,2112, ,買掛金,5,㈲ニーズ,,,,,330,,,2115, ,未払費用,,,,,,,330,,,,,,,,,,,振込料,
71,,,,2022/3/31,2112, ,買掛金,11,木梨デザインス,,,,,550,,,2115, ,未払費用,,,,,,,550,,,,,,,,,,,振込料,
72,,,,2022/3/31,2112, ,買掛金,12,合同印刷株式会,,,,,550,,,2115, ,未払費用,,,,,,,550,,,,,,,,,,,振込料,
73,,,,2022/3/31,1154, ,未収入金,,,,,,,15224,,,9992, ,資金外諸口,,,,,,,,,,,,,,,,,,3月分使用　パブリック有本分,
74,,,,2022/3/31,9992, ,資金外諸口,,,,,,,,,,7118, ,雑収入,,,,,,,0,,,10,0,１種,売上,10.00%,,,,賃料,
75,,,,2022/3/31,9992, ,資金外諸口,,,,,,,,,,6218, ,通信交通費,,,,,,,6754,,,10,614,,仕入,10.00%,,,,NTT西日本,
76,,,,2022/3/31,9992, ,資金外諸口,,,,,,,,,,6217, ,事務用消耗品費,,,,,,,2189,,,10,199,,仕入,10.00%,,,,エコリューション,
77,,,,2022/3/31,9992, ,資金外諸口,,,,,,,,,,6219, ,水道光熱費,,,,,,,5621,,,10,511,,仕入,10.00%,,,,電気料金,
78,,,,2022/3/31,9992, ,資金外諸口,,,,,,,,,,6218, ,通信交通費,,,,,,,660,,,10,60,,仕入,10.00%,,,,OCN基本料,
79,,,,2022/3/31,1122, ,売掛金,13,サテライト山陽,,,,,394350,,,4111, ,売上高,,,,,,,394350,,,10,35850,１種,売上,10.00%,,,,広告宣伝費　3月,
80,,,,2022/3/31,1122, ,売掛金,15,㈱住研社,,,,,793650,,,4111, ,売上高,,,,,,,793650,,,10,72150,１種,売上,10.00%,,,,広告宣伝費　3月,
81,,,,2022/3/31,1152, ,前払費用,,,,,,,165000,,,2112, ,買掛金,7,㈲アイエス工房,,,,,165000,,,,,,,,,,,サテライト山陽野立看板年間掲出料　中玉万里バス2022.04～2023.03,
82,,,,2022/3/31,5212, ,外注費,,,,,,,44000,,,2112, ,買掛金,5,㈲ニーズ,,,,,44000,,,10,4000,,仕入,10.00%,,,,デザイン費　3月,
83,,,,2022/3/31,5212, ,外注費,,,,,,,1650,,,2112, ,買掛金,14,甲三堂造花(有),,,,,1650,,,10,150,,仕入,10.00%,,,,商品掛仕入,
84,,,,2022/3/31,5212, ,外注費,,,,,,,90200,,,2112, ,買掛金,12,合同印刷株式会,,,,,90200,,,10,8200,,仕入,10.00%,,,,印刷費　3月,
85,,,,2022/3/31,5212, ,外注費,,,,,,,1100,,,2112, ,買掛金,11,木梨デザインス,,,,,1100,,,10,100,,仕入,10.00%,,,,デザイン費　　3月,
86,,,,2022/3/31,5212, ,外注費,,,,,,,146294,,,2112, ,買掛金,23,㈱読売連合広告,,,,,146294,,,10,13299,,仕入,10.00%,,,,折込料,
87,,,,2022/3/31,2113, ,短期借入金,0,諸口,,,,,14414,,,1111, ,現金,,,,,,,14414,,,,,,,,,40,短期借入金返済,短期借入金返済　中国しんきんカード　 2月分,
88,,,,2022/3/31,2113, ,短期借入金,2,岡崎成司SB携帯,,,,,34127,,,1111, ,現金,,,,,,,34127,,,,,,,,,40,短期借入金返済,短期借入金返済　ソフトバンク　岡崎洋子　岡崎成司,
,,,,,,,,,,,,,＊借方合計＊,6257534,,,,,,,,,,,＊貸方合計＊,6257534,,,,,,,,,,,※※月計     88件※※,
