,検索ＮＯ,伝票ＮＯ,伝票日付,相手科目コード,相手科目名称,摘要,消費税コード,消費税率,借方金額,貸方金額,差引金額,税率区分
,48,,R04/08/23,1113,普通預金,Go　To　Eat　入金,,,,80000,412470,
,54,,R04/08/25,1113,普通預金,リクルートペイメント　入金,,,,361847,,
,184,,R04/08/25,6231,雑費,リクルートペイメント　保証料,,,,12623,,
,211,,R04/08/25,4111,売上高,カード売上/VISA,,,7660,,45660,
,212,,R04/08/26,4111,売上高,カード売上/Master,,,16660,,62320,
,213,,R04/08/27,4111,売上高,カード売上/JCB,,,24000,,86320,
,214,,R04/08/30,4111,売上高,カード売上/VISA,,,18350,,,
,215,,R04/08/30,4111,売上高,カード売上/JCB,,,11300,,115970,
,,,,,,※※月計※※,,,699520,987070,,
"1225 減価償却累計額",,,,,,前月より繰越,,,,,47600,
,220,,R04/08/31,6214,減価償却費,当月概算計上,,,,6800,54400,
,,,,,,※※月計※※,,,0,6800,,
"2112 買掛金",,,,,,前月より繰越,,,,,450955,
,136,,R04/08/12,1111,現金,買掛金支払/㈱優侑ミート,,,269353,,,
,137,,R04/08/12,1111,現金,買掛金支払/住田㈱,,,181602,,0,
,221,,R04/08/31,5211,商品仕入高,買掛金計上/㈱優侑ミート,,,,195819,,
,222,,R04/08/31,5211,商品仕入高,買掛金計上/住田㈱,,,,69651,,
,223,,R04/08/31,5211,商品仕入高,買掛金計上/住田㈱,,,,105451,370921,
,,,,,,※※月計※※,,,450955,370921,,
"2115 未払費用",,,,,,前月より繰越,,,,,645718,
,122,,R04/08/09,1111,現金,従業員給与,,,184219,,461499,
,218,,R04/08/31,6111,給料賃金,従業員給与,,,,159744,621243,
,,,,,,※※月計※※,,,184219,159744,,
"2125 未払消費税",,,,,,前月より繰越,,,,,259500,
,224,,R04/08/31,6221,租税公課,消費税概算計上,,,,38700,298200,
,,,,,,※※月計※※,,,0,38700,,
"2212 長期借入金",,,,,,前月より繰越,,,,,12319000,
,1,,R04/08/01,1113,普通預金,日本政策金融公庫　借入金返済,,,26000,,,
,3,,R04/08/01,1113,普通預金,日本政策金融公庫　借入金返済,,,36000,,12257000,
,89,,R04/08/25,1113,普通預金,広島信用金庫　借入金返済,,,83500,,12173500,
,76,,R04/08/31,1113,普通預金,日本政策金融公庫　借入金返済,,,26000,,,
,78,,R04/08/31,1113,普通預金,日本政策金融公庫　借入金返済,,,36000,,12111500,
,,,,,,※※月計※※,,,207500,0,,
"4111 売上高",,,,,,前月より繰越,,,,,10354500,
,91,,R04/08/01,1111,現金,現金売上,10,10.0,,17420,,
,185,,R04/08/01,1122,売掛金,カード売上/JCB,10,10.0,,3000,10374920,
,102,,R04/08/02,1111,現金,現金売上,10,10.0,,32140,10407060,
,186,,R04/08/03,1122,売掛金,カード売上/VISA,10,10.0,,15720,,
,187,,R04/08/03,1122,売掛金,カード売上/JCB,10,10.0,,10740,,
,188,,R04/08/03,1122,売掛金,カード売上/VISA,10,10.0,,24660,10458180,
,106,,R04/08/04,1111,現金,現金売上,10,10.0,,15320,10473500,
,107,,R04/08/05,1111,現金,現金売上,10,10.0,,53240,,
,189,,R04/08/05,1122,売掛金,カード売上/JCB,10,10.0,,30640,,
,190,,R04/08/05,1122,売掛金,カード売上/VISA,10,10.0,,23600,,
,191,,R04/08/05,1122,売掛金,カード売上/Master,10,10.0,,12140,10593120,
,115,,R04/08/06,1111,現金,現金売上,10,10.0,,6000,,
,192,,R04/08/06,1122,売掛金,カード売上/JCB,10,10.0,,20360,,
,193,,R04/08/06,1122,売掛金,"Go To Eat　売上",10,10.0,,38000,10657480,
,194,,R04/08/08,1122,売掛金,カード売上/Master,10,10.0,,16480,,
,195,,R04/08/08,1122,売掛金,カード売上/VISA,10,10.0,,24340,,
,196,,R04/08/08,1122,売掛金,カード売上/VISA,10,10.0,,27400,10725700,
,123,,R04/08/10,1111,現金,現金売上,10,10.0,,20320,,
,197,,R04/08/10,1122,売掛金,カード売上/VISA,10,10.0,,30940,,
,198,,R04/08/10,1122,売掛金,カード売上/JCB,10,10.0,,39980,,
,199,,R04/08/10,1122,売掛金,カード売上/Master,10,10.0,,22280,,
,200,,R04/08/10,1122,売掛金,カード売上/VISA,10,10.0,,27860,10867080,
,127,,R04/08/11,1111,現金,現金売上,10,10.0,,58640,,
,201,,R04/08/11,1122,売掛金,カード売上/JCB,10,10.0,,60000,10985720,
,29,,R04/08/12,1113,普通預金,カカクコムTポイント,10,10.0,,200,,
,130,,R04/08/12,1111,現金,現金売上,10,10.0,,66120,,
,202,,R04/08/12,1122,売掛金,カード売上/JCB,10,10.0,,16340,,
,203,,R04/08/12,1122,売掛金,カード売上/VISA,10,10.0,,22580,11090960,
,138,,R04/08/13,1111,現金,現金売上,10,10.0,,43700,,
,204,,R04/08/13,1122,売掛金,カード売上/VISA,10,10.0,,18020,,
,205,,R04/08/13,1122,売掛金,カード売上/VISA,10,10.0,,39840,11192520,
,141,,R04/08/18,1111,現金,現金売上,10,10.0,,41600,,
,206,,R04/08/18,1122,売掛金,カード売上/Master,10,10.0,,12270,11246390,
,147,,R04/08/19,1111,現金,現金売上,10,10.0,,26300,,
,207,,R04/08/19,1122,売掛金,カード売上/Master,10,10.0,,12800,,
,208,,R04/08/19,1122,売掛金,カード売上/JCB,10,10.0,,41880,,
,209,,R04/08/19,1122,売掛金,カード売上/Master,10,10.0,,10000,,
,210,,R04/08/19,1122,売掛金,カード売上/Master,10,10.0,,19680,11357050,
,149,,R04/08/20,1111,現金,現金売上,10,10.0,,58720,11415770,
,151,,R04/08/22,1111,現金,現金売上,10,10.0,,80820,11496590,
,156,,R04/08/23,1111,現金,現金売上,10,10.0,,20010,11516600,
,157,,R04/08/24,1111,現金,現金売上,10,10.0,,45240,11561840,
,53,,R04/08/25,1113,普通預金,リクルートポイントプレゼント,10,10.0,,5100,,
,160,,R04/08/25,1111,現金,現金売上,10,10.0,,63970,,
,211,,R04/08/25,1122,売掛金,カード売上/VISA,10,10.0,,7660,11638570,
,165,,R04/08/26,1111,現金,現金売上,10,10.0,,49580,,
,212,,R04/08/26,1122,売掛金,カード売上/Master,10,10.0,,16660,11704810,
,168,,R04/08/27,1111,現金,現金売上,10,10.0,,34620,,
,213,,R04/08/27,1122,売掛金,カード売上/JCB,10,10.0,,24000,11763430,
